YEAR,ARARIA,ARWAL,AURANGABAD,BANKA,BEGUSARAI,BHAGALPUR,BHOJPUR,BUXAR,DURBHANGA,EAST CHAMPARAN,GAYA,GOPALGANJ,JAMUI,JEHANABAD,KHAGARIA,KISHANGANJ,KAIMUR,KATHIAR,LAKHISARAI,MADHUBANI,MUNGER,MATHIPURA,MUZAFFARPUR,NALANDA,NAWADA,PATNA,PURNIA,ROHTAS,SAHARSA,SAMASTIPUR,SHEOHAR,SHEIKPURA,SARAN,SITAMARI,SUPAUL,SIWAN,VAISHALI,WEST CHAMPARAN
2023,15.3912,15.429057,15.832857,15.806343,15.920914,15.039,15.428914,15.1092,15.152914,16.195486,14.628857,14.780143,15.692429,15.397714,16.177,14.889029,15.793429,15.762629,15.4642,15.076914,15.621629,15.455486,14.983371,15.057857,14.901914,13.927743,15.263343,15.196057,15.404629,15.331914,15.437714,15.439486,15.436857,15.664771,15.693914,15.629771,15.728486,15.425571
2024,16.564521,16.615679,17.153414,17.080679,17.270486,16.292704,16.662557,16.320857,16.339521,17.504786,15.825232,15.890986,16.911486,16.598986,17.5191,15.977354,17.043521,16.99295,16.646071,16.204807,16.865393,16.722807,16.199968,16.322004,16.036093,15.054421,16.454807,16.358021,16.559521,16.503807,16.62745,16.6775,16.649664,16.9525,16.955879,16.891643,17.031679,16.601021
2025,17.737843,17.8007,18.475571,18.353414,18.620857,17.547207,17.897,17.530914,17.526129,18.812486,17.020007,17.003429,18.132143,17.801857,18.8596,17.064079,18.295214,18.223271,17.826343,17.3327,18.107557,17.990929,17.416564,17.58535,17.171071,16.1811,17.646271,17.520786,17.715214,17.6757,17.818786,17.913914,17.864071,18.238629,18.217843,18.151914,18.333271,17.778071
2026,18.911164,18.987321,19.796129,19.62775,19.969629,18.800111,19.129843,18.741771,18.713536,20.121786,18.215582,18.115071,19.352,19.003129,20.2009,18.151604,19.546107,19.453593,19.008214,18.461393,19.351321,19.25745,18.633161,18.848696,18.30445,17.307779,18.838536,18.68195,18.869307,18.848393,19.009321,19.151929,19.077679,19.526357,19.480607,19.413786,19.635664,18.953521
2027,20.085286,20.172343,21.118286,20.900486,21.3192,20.053814,20.363486,19.952629,19.899343,21.429486,19.411157,19.225914,20.571057,20.206,21.543,19.239129,20.7962,20.683914,20.188486,19.588486,20.593486,20.524771,19.849757,20.111243,19.438629,18.433657,20.0292,19.844714,20.025,20.019486,20.199057,20.388343,20.290486,20.812486,20.741771,20.674057,20.938057,20.130571
2028,21.257807,21.358964,22.438843,22.174821,22.669571,21.308318,21.597929,21.164286,21.08595,22.738786,20.606732,20.338357,21.791714,21.407271,22.8835,20.327454,22.047893,21.914236,21.370357,20.716379,21.83725,21.792893,21.066354,21.375389,20.573607,19.561136,21.220664,21.005879,21.179093,21.191379,21.390393,21.626357,21.504893,22.099414,22.003736,21.935929,22.24125,21.306021
2029,22.431129,22.543986,23.761,23.447557,24.018343,22.561221,22.830771,22.374343,22.272557,24.046486,21.802307,21.4492,23.010771,22.610143,24.2256,21.414179,23.297986,23.144557,22.550629,21.844271,23.079414,23.059414,22.28295,22.638736,21.706986,20.687814,22.412129,22.167843,22.333986,22.363271,22.580129,22.862771,22.7177,23.387143,23.2657,23.1962,23.542843,22.483071
2030,23.60445,23.730607,25.081557,24.721893,25.367914,23.814925,24.064414,23.5852,23.459164,25.355786,22.997882,22.561643,24.231429,23.811414,25.5661,22.501704,24.549679,24.374879,23.7325,22.972164,24.323179,24.326736,23.499546,23.901282,22.841164,21.814493,23.603593,23.330607,23.489679,23.535164,23.771464,24.100786,23.932107,24.673271,24.527664,24.458071,24.845236,23.658521
