YEAR,ARARIA,ARWAL,AURANGABAD,BANKA,BEGUSARAI,BHAGALPUR,BHOJPUR,BUXAR,DURBHANGA,EAST CHAMPARAN,GAYA,GOPALGANJ,JAMUI,JEHANABAD,KHAGARIA,KISHANGANJ,KAIMUR,KATHIAR,LAKHISARAI,MADHUBANI,MUNGER,MATHIPURA,MUZAFFARPUR,NALANDA,NAWADA,PATNA,PURNIA,ROHTAS,SAHARSA,SAMASTIPUR,SHEOHAR,SHEIKPURA,SARAN,SITAMARI,SUPAUL,SIWAN,VAISHALI,WEST CHAMPARAN
2016,8.756,8.89,8.102,8.5,8.23,7.9861,8.568,8.13,8.321,8.568,7.9123,8.589,8.861,8.781,8.3412,8.9321,8.682,8.921,8.872,8.628,8.589,8.341,8.2491,7.9781,8.346,7.481,8.582,8.679,8.981,8.861,8.823,8.689,8.741,8.143,8.21,8.312,8.041,8.861
2017,6.721,6.803,6.123,6.451,5.981,5.901,6.231,6.031,6.11,6.81,5.821,6.301,6.412,6.331,6.8,6.46,6.23,6.38,6.14,6.21,6.31,6.18,5.92,5.81,6.34,5.841,6.312,6.489,6.38,6.271,6.41,6.123,6.231,6.132,6.481,6.148,6.181,6.49
2018,7.981,7.891,7.781,7.817,7.871,7.187,7.817,7.718,7.981,8.123,7.121,7.631,8.113,7.561,8.031,8.131,8.211,8.091,8.119,8.231,8.191,7.86,7.489,7.136,8.131,6.989,7.986,7.991,8.031,8.11,8.081,7.561,7.91,7.989,8.101,8.001,7.876,8.231
2019,11.761,11.425,11.801,11.981,11.471,10.921,11.561,11.165,11.516,12.012,10.871,11.591,12.012,11.761,11.541,11.415,12.101,12.012,12.112,11.871,11.54,11.012,10.871,10.912,11.312,10.152,11.452,11.589,12.781,11.812,11.671,11.414,11.562,11.625,11.781,11.817,11.718,11.765
2020,12.781,12.415,12.821,12.819,12.341,11.981,12.156,12.651,12.615,13.012,11.781,12.561,13.031,12.671,12.451,12.514,13.011,13.1,13.211,12.971,12.59,12.045,11.971,11.981,12.341,11.234,12.471,12.417,12.461,12.641,12.761,12.671,12.671,12.721,12.871,12.916,12.817,12.675
2021,12.91,13.191,13.102,13.21,13.34,12.56,13.03,13.09,13.15,13.56,12.131,12.421,13.141,13.51,13.812,13.194,13.151,13.21,13.319,13.011,13.211,13.13,12.82,12.61,13.011,11.542,12.809,12.91,12.991,13.056,13.005,13.101,12.981,13.05,13.095,13.103,13.004,13.012
2022,13.981,14.191,14.102,14.213,14.43,13.65,14.103,13.081,13.158,14.651,13.311,13.241,14.121,13.511,14.712,13.132,14.143,14.181,13.412,13.041,14.123,14.141,13.51,13.621,13.081,12.781,13.876,13.768,13.876,13.765,13.978,13.881,13.981,13.965,13.989,13.807,14.001,14.01
